[2026-04-15 14:39:36] ID: Chofer_01 | Lat: -34.6472743 | Lng: -58.4580802 | Status: activo
[2026-04-15 14:39:37] ID: Chofer_01 | Lat: -34.6472743 | Lng: -58.4580802 | Status: activo
[2026-04-15 14:39:44] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.45809 | Status: activo
[2026-04-15 14:39:47] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.45809 | Status: activo
[2026-04-15 14:39:53] ID: Chofer_01 | Lat: -34.6472704 | Lng: -58.4580803 | Status: activo
[2026-04-15 14:40:26] ID: Chofer_03 | Lat: -34.6472611 | Lng: -58.4580933 | Status: activo
[2026-04-15 14:40:30] ID: Chofer_03 | Lat: -34.6472611 | Lng: -58.4580933 | Status: activo
[2026-04-15 14:40:49] ID: Fabian | Lat: -34.6472651 | Lng: -58.4580922 | Status: activo
[2026-04-15 14:40:53] ID: Fabian | Lat: -34.6472651 | Lng: -58.4580922 | Status: activo
[2026-04-15 14:41:07] ID: Fabian | Lat: -34.6472721 | Lng: -58.4580836 | Status: activo
[2026-04-15 14:41:12] ID: Fabian | Lat: -34.6472721 | Lng: -58.4580836 | Status: activo
[2026-04-15 14:58:31] ID: Fabian | Lat: -34.6472808 | Lng: -58.4580812 | Status: activo
[2026-04-15 15:05:23] ID: Chofer_01 | Lat: -34.6472532 | Lng: -58.4580769 | Status: activo
[2026-04-15 15:05:25] ID: Chofer_01 | Lat: -34.6472532 | Lng: -58.4580769 | Status: activo
[2026-04-15 15:05:28] ID: Chofer_01 | Lat: -34.6472532 | Lng: -58.4580769 | Status: inactivo
[2026-04-15 15:05:29] ID: Chofer_01 | Lat: -34.6472532 | Lng: -58.4580769 | Status: inactivo
[2026-04-15 15:05:29] ID: Chofer_01 | Lat: -34.6472532 | Lng: -58.4580769 | Status: inactivo
[2026-04-15 15:06:01] ID: Chofer_01 | Lat: -34.647258 | Lng: -58.4580847 | Status: activo
[2026-04-15 15:06:05] ID: Chofer_01 | Lat: -34.647258 | Lng: -58.4580847 | Status: activo
[2026-04-15 15:06:11] ID: Chofer_01 | Lat: -34.6472589 | Lng: -58.4580844 | Status: inactivo
[2026-04-15 15:06:11] ID: Chofer_01 | Lat: -34.6472589 | Lng: -58.4580844 | Status: inactivo
[2026-04-15 15:06:12] ID: Chofer_01 | Lat: -34.6472589 | Lng: -58.4580844 | Status: inactivo
[2026-04-15 15:08:20] ID: Chofer_01 | Lat: -34.6472778 | Lng: -58.4580766 | Status: activo
[2026-04-15 15:08:20] ID: Chofer_01 | Lat: -34.6472778 | Lng: -58.4580766 | Status: activo
[2026-04-15 15:08:21] ID: Chofer_01 | Lat: -34.6472716 | Lng: -58.4580798 | Status: activo
[2026-04-15 15:08:22] ID: Chofer_01 | Lat: -34.6472716 | Lng: -58.4580798 | Status: activo
[2026-04-15 15:08:28] ID: Chofer_01 | Lat: -34.6472734 | Lng: -58.4580794 | Status: activo
[2026-04-15 15:08:31] ID: Chofer_01 | Lat: -34.6472734 | Lng: -58.4580794 | Status: activo
[2026-04-15 15:08:41] ID: Chofer_01 | Lat: -34.6472683 | Lng: -58.4580797 | Status: activo
[2026-04-15 15:08:42] ID: Chofer_01 | Lat: -34.6472683 | Lng: -58.4580797 | Status: activo
[2026-04-15 15:08:44] ID: Chofer_01 | Lat: -34.6472712 | Lng: -58.4580806 | Status: inactivo
[2026-04-15 15:08:45] ID: Chofer_01 | Lat: -34.6472712 | Lng: -58.4580806 | Status: inactivo
[2026-04-15 15:08:46] ID: Chofer_01 | Lat: -34.6472712 | Lng: -58.4580806 | Status: inactivo
[2026-04-15 15:11:52] ID: Chofer_01 | Lat: -34.6472688 | Lng: -58.4580788 | Status: activo
[2026-04-15 15:11:55] ID: Chofer_01 | Lat: -34.6472688 | Lng: -58.4580788 | Status: activo
[2026-04-15 15:12:01] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.4580742 | Status: activo
[2026-04-15 15:12:05] ID: Chofer_01 | Lat: -34.6472652 | Lng: -58.4580742 | Status: activo
[2026-04-15 15:12:11] ID: Chofer_01 | Lat: -34.6472699 | Lng: -58.4580894 | Status: activo
[2026-04-15 15:12:14] ID: Chofer_01 | Lat: -34.6472699 | Lng: -58.4580894 | Status: inactivo
[2026-04-15 15:12:15] ID: Chofer_01 | Lat: -34.6472699 | Lng: -58.4580894 | Status: inactivo
[2026-04-15 15:12:16] ID: Chofer_01 | Lat: -34.6472699 | Lng: -58.4580894 | Status: inactivo
[2026-04-15 15:30:45] ID: Chofer_01 | Lat: -34.647263 | Lng: -58.4580882 | Status: activo
[2026-04-15 15:30:48] ID: Chofer_01 | Lat: -34.647263 | Lng: -58.4580882 | Status: activo
[2026-04-15 15:30:49] ID: Chofer_01 | Lat: -34.647263 | Lng: -58.4580882 | Status: inactivo
